TPL_REGION_TAG_URL,andalucia
Variables disponibles pour un niveau,
nom,valeur
TPL_CDN,https://c.superprof.com/p
TPL_NDD,https://www.superprof.fr
TPL_TAG_IMG,202601261130
TPL_NB_AVIS_GLOBAL,1732250
TPL_NB_AVIS_GLOBAL_FORMATE,1 732 250
TPL_NB_AVIS_GLOBAL_TRONC_MILLIONS,"1,7"
TPL_AVIS_SP_GLOBAL,4.7072
TPL_AVIS_SP_GLOBAL_FORMATE,"4,7"
TPL_NIVEAU_URL,/les-matieres.html
TPL_NIVEAU,Primary
TPL_NIVEAU_ID,1
TPL_NIVEAU_MINUS,primary
TPL_NIVEAU_FIRST_MAJUS,Primary
TPL_NIVEAU_MINUS_SMART,primary
TPL_NIVEAU_FIRST_MAJUS_SMART,Primary
TPL_D_DE_NIVEAU,DE
TPL_D_DE_NIVEAU_MINUS,de
TPL_DEMARCHE,Scolaire
TPL_DEMARCHE_ID,1
Variables disponibles pour une landing,
nom,valeur
TPL_NB_PROFS,3500
TPL_NB_PROFS_FORMATE,3 500
